구분,지원자 ID,지원경로,포지션,지원일자,코딩테스트,코딩테스트_점수,코딩테스트_결과,서류전형,면접전형,면접전형_결과,입사일자,불합격 사유,,,,**업데이트 일자:,2026.05.19
개발,6896544,잡코리아,BE,2026. 2. 13,X,,,,,,,서류_중복지원,,,,,
개발,6943826,점핏,BE,2026. 2. 23,X,,,,,,,서류_병특아님,,,,,
개발,6943862,점핏,BE,2026. 2. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,6943869,점핏,BE,2026. 2. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,6943877,점핏,BE,2026. 2. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,6953316,사람인,BE,2026. 2. 24,X,,,,,,,서류_병특아님,,,,,
개발,6974736,점핏,BE,2026. 2. 26,X,,,,,,,서류_설문 미응답,,,,,
개발,6974751,점핏,BE,2026. 2. 26,X,,,,,,,서류_설문 미응답,,,,,
개발,6974762,점핏,BE,2026. 2. 26,X,,,,,,,서류_병특아님,,,,,
개발,6999601,점핏,BE,2026. 3. 3,X,,,,,,,서류_병특아님,,,,,
개발,6999608,점핏,BE,2026. 3. 3,X,,,,,,,서류_병특아님,,,,,
개발,6999614,점핏,BE,2026. 3. 3,X,,,,,,,서류_기타,,,,,
개발,6999634,점핏,BE,2026. 3. 3,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7019283,기타,BE,2026. 3. 5,X,,,,,,,서류_병특아님,,,,,
개발,7025508,점핏,BE,2026. 3. 6,X,,,,,,,서류_병특아님,,,,,
개발,7025554,점핏,BE,2026. 3. 6,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7025578,점핏,BE,2026. 3. 6,X,,,,,,,서류_병특아님,,,,,
개발,7025591,점핏,BE,2026. 3. 6,X,,,,,,,서류_병특아님,,,,,
개발,7042966,점핏,BE,2026. 3. 9,O,396,합격,불합격,X,,,서류_불합격,,,,,
개발,7042999,점핏,BE,2026. 3. 9,X,,,,,,,서류_병특아님,,,,,
개발,7043025,점핏,BE,2026. 3. 9,X,,,,,,,서류_병특아님,,,,,
개발,7043039,점핏,BE,2026. 3. 9,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7043055,점핏,BE,2026. 3. 9,X,,,,,,,서류_병특아님,,,,,
개발,7043086,점핏,BE,2026. 3. 9,X,,,,,,,서류_병특아님,,,,,
개발,7043130,점핏,BE,2026. 3. 9,X,,,,,,,서류_재지원자,,,,,
개발,7043140,점핏,BE,2026. 3. 9,O,431,합격,불합격,X,,,서류_불합격,,,,,
개발,7061015,잡코리아,BE,2026. 3. 11,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7068735,잡코리아,BE,2026. 3. 12,O,,불합격,,,,,코테_미응시,,,,,
개발,7070379,점핏,BE,2026. 3. 12,X,,,,,,,서류_병특아님,,,,,
개발,7070385,점핏,BE,2026. 3. 12,X,,,,,,,서류_병특아님,,,,,
개발,7070401,점핏,BE,2026. 3. 12,X,,,,,,,서류_병특아님,,,,,
개발,7070412,점핏,BE,2026. 3. 12,X,,,,,,,서류_병특아님,,,,,
개발,7070428,점핏,BE,2026. 3. 12,X,,,,,,,서류_병특아님,,,,,
개발,7070451,점핏,BE,2026. 3. 12,X,,,,,,,서류_병특아님,,,,,
개발,7089395,잡코리아,BE,2026. 3. 15,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7094013,점핏,BE,2026. 3. 16,X,,,,,,,서류_병특아님,,,,,
개발,7094025,점핏,BE,2026. 3. 16,X,,,,,,,서류_병특아님,,,,,
개발,7094046,점핏,BE,2026. 3. 16,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7094064,점핏,BE,2026. 3. 16,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7094069,점핏,BE,2026. 3. 16,X,,,,,,,서류_병특아님,,,,,
개발,7094597,원티드,BE,2026. 2. 20,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7094608,원티드,BE,2026. 2. 23,X,,,,,,,서류_병특아님,,,,,
개발,7094615,원티드,BE,2026. 2. 26,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7094617,원티드,BE,2026. 2. 27,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7094620,원티드,BE,2026. 3. 3,X,,,,,,,서류_기타,,,,,
개발,7094626,원티드,BE,2026. 3. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7094633,원티드,BE,2026. 3. 10,O,,불합격,,,,,코테_기타,,,,,
개발,7094637,원티드,BE,2026. 3. 10,O,,불합격,,,,,코테_미응시,,,,,
개발,7102404,사람인,BE,2026. 3. 17,X,,,,,,,서류_병특아님,,,,,
개발,7103666,잡코리아,BE,2026. 3. 17,X,,,,,,,서류_병특아님,,,,,
개발,7113195,잡코리아,BE,2026. 3. 18,X,,,,,,,서류_병특아님,,,,,
개발,7113196,잡코리아,BE,2026. 3. 18,X,,,,,,,서류_병특아님,,,,,
개발,7113209,잡코리아,BE,2026. 3. 18,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7120590,사람인,BE,2026. 3. 19,X,,,,,,,서류_외국인,,,,,
개발,7131993,잡코리아,BE,2026. 3. 20,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7132141,잡코리아,BE,2026. 3. 20,X,,,,,,,서류_설문 미응답,,,,,
개발,7132306,원티드,BE,2026. 3. 20,X,,,,,,,서류_병특아님,,,,,
개발,7132310,원티드,BE,2026. 3. 20,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7151095,사람인,BE,2026. 3. 23,O,404,합격,불합격,X,,,서류_불합격,,,,,
개발,7151105,사람인,BE,2026. 3. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,7151506,원티드,BE,2026. 3. 23,X,,,,,,,서류_기타,,,,,
개발,7161234,점핏,BE,2026. 3. 24,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7161243,점핏,BE,2026. 3. 24,X,,,,,,,서류_병특아님,,,,,
개발,7161462,잡코리아,BE,2026. 3. 24,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7161463,잡코리아,BE,2026. 3. 24,X,,,,,,,서류_병특아님,,,,,
개발,7170764,잡코리아,BE,2026. 3. 25,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7180073,잡코리아,BE,2026. 3. 26,O,200,불합격,,,,,코테_점수 미달,,,,,
개발,7188027,사람인,BE,2026. 3. 27,X,,,,,,,서류_설문 미응답,,,,,
개발,7194354,사람인,BE,2026. 3. 28,X,,,,,,,서류_재지원자,,,,,
개발,7206063,점핏,BE,2026. 3. 30,X,,,,,,,서류_병특아님,,,,,
개발,7206067,점핏,BE,2026. 3. 30,X,,,,,,,서류_병특아님,,,,,
개발,7206087,점핏,BE,2026. 3. 30,X,,,,,,,서류_기타,,,,,
개발,7206188,잡코리아,BE,2026. 3. 30,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7206192,잡코리아,BE,2026. 3. 30,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7206197,잡코리아,BE,2026. 3. 30,X,,,,,,,서류_병특아님,,,,,
개발,7206199,잡코리아,BE,2026. 3. 30,X,,,,,,,서류_병특아님,,,,,
개발,7212479,기타,BE,2026. 3. 30,X,,,,,,,서류_병특아님,,,,,
개발,7285607,점핏,BE,2026. 4. 8,X,,,,,,,서류_재지원자,,,,,
개발,7285617,점핏,BE,2026. 4. 8,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7285625,점핏,BE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7285645,점핏,BE,2026. 4. 8,O,,불합격,,,,,코테_기타,,,,,
개발,7285654,점핏,BE,2026. 4. 8,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7285665,점핏,BE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7285681,점핏,BE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7285690,점핏,BE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7285702,점핏,BE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286515,잡코리아,BE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286518,잡코리아,BE,2026. 4. 8,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7286520,잡코리아,BE,2026. 4. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7286525,잡코리아,BE,2026. 4. 8,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7286526,잡코리아,BE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7300051,사람인,BE,2026. 4. 9,X,,,,,,,서류_외국인,,,,,
개발,7524591,원티드,FE,2026. 5. 7,O,600,합격,평가중,,,,,,,,,
개발,7571320,원티드,FE,2026. 5. 14,O,404,합격,평가중,,,,,,,,,
개발,6658361,잡코리아,FE,2026. 1. 14,X,,,,,,,서류_외국인,,,,,
개발,6659046,사람인,FE,2026. 1. 14,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6661479,잡코리아,FE,2026. 1. 15,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6706163,잡코리아,FE,2026. 1. 20,O,,불합격,,,,,코테_기타,,,,,
개발,6722958,원티드,FE,2026. 1. 22,X,,,,,,,서류_기타,,,,,
개발,6723011,원티드,FE,2026. 1. 22,X,,,,,,,서류_병특아님,,,,,
개발,6723019,원티드,FE,2026. 1. 22,X,,,,,,,서류_외국인,,,,,
개발,6723022,원티드,FE,2026. 1. 22,X,,,,,,,서류_외국인,,,,,
개발,6723029,원티드,FE,2026. 1. 22,X,,,,,,,서류_병특아님,,,,,
개발,6723044,원티드,FE,2026. 1. 22,X,,,,,,,서류_병특아님,,,,,
개발,6723075,원티드,FE,2026. 1. 22,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6723079,원티드,FE,2026. 1. 22,X,,,,,,,서류_병특아님,,,,,
개발,6723094,원티드,FE,2026. 1. 22,X,,,,,,,서류_병특아님,,,,,
개발,6723100,원티드,FE,2026. 1. 22,X,,,,,,,서류_병특아님,,,,,
개발,6723105,원티드,FE,2026. 1. 22,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6723110,원티드,FE,2026. 1. 22,X,,,,,,,서류_병특아님,,,,,
개발,6743897,기타,FE,2026. 1. 25,X,,,,,,,서류_병특아님,,,,,
개발,6749334,원티드,FE,2026. 1. 26,X,,,,,,,서류_병특아님,,,,,
개발,6760023,원티드,FE,2026. 1. 27,X,,,,,,,서류_기타,,,,,
개발,6770976,잡코리아,FE,2026. 1. 28,X,,,,,,,서류_기타,,,,,
개발,6773774,잡코리아,FE,2026. 1. 28,X,,,,,,,서류_외국인,,,,,
개발,6787927,원티드,FE,2026. 1. 30,X,,,,,,,서류_병특아님,,,,,
개발,6787929,원티드,FE,2026. 1. 30,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6801649,원티드,FE,2026. 2. 2,X,,,,,,,서류_병특아님,,,,,
개발,6844034,잡코리아,FE,2026. 2. 7,O,384,합격,불합격,X,,,서류_불합격,,,,,
개발,6850704,기타,FE,2026. 2. 9,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6888296,사람인,FE,2026. 2. 12,X,,,,,,,서류_외국인,,,,,
개발,6943892,점핏,FE,2026. 2. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,6943902,점핏,FE,2026. 2. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,6943908,점핏,FE,2026. 2. 23,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6943913,점핏,FE,2026. 2. 23,O,,불합격,,,,,코테_기타,,,,,
개발,6943920,점핏,FE,2026. 2. 23,X,,,,,,,서류_재지원자,,,,,
개발,6943925,점핏,FE,2026. 2. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,6943938,점핏,FE,2026. 2. 23,X,,,,,,,서류_자격 요건 부족,,,,,
개발,6953324,사람인,FE,2026. 2. 24,X,,,,,,,서류_병특아님,,,,,
개발,6958862,사람인,FE,2026. 2. 24,X,,,,,,,서류_포지션마감,,,,,
개발,6973755,잡코리아,FE,2026. 2. 26,X,,,,,,,서류_포지션마감,,,,,
개발,7094652,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094654,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094655,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094658,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094659,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094661,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094662,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094667,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094673,원티드,FE,2026. 3. 16,X,,,,,,,서류_병특아님,,,,,
개발,7094678,원티드,FE,2026. 3. 16,X,,,,,,,서류_병특아님,,,,,
개발,7094679,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094681,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094689,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094693,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094694,원티드,FE,2026. 3. 16,X,,,,,,,서류_병특아님,,,,,
개발,7094695,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7094696,원티드,FE,2026. 3. 16,X,,,,,,,서류_포지션마감,,,,,
개발,7191931,사람인,FE,2026. 3. 27,X,,,,,,,서류_병특아님,,,,,
개발,7237538,잡코리아,FE,2026. 4. 1,X,,,,,,,서류_병특아님,,,,,
개발,7250691,사람인,FE,2026. 4. 3,X,,,,,,,서류_병특아님,,,,,
개발,7254976,원티드,FE,2026. 4. 3,O,402,합격,불합격,X,,,서류_불합격,,,,,
개발,7255046,원티드,FE,2026. 4. 3,X,,,,,,,서류_설문 미응답,,,,,
개발,7259842,잡코리아,FE,2026. 4. 4,O,200,불합격,,,,,코테_점수 미달,,,,,
개발,7279808,잡코리아,FE,2026. 4. 7,X,,,,,,,서류_병특아님,,,,,
개발,7284178,잡코리아,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286711,원티드,FE,2026. 4. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7286715,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286717,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286720,원티드,FE,2026. 4. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7286721,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286723,원티드,FE,2026. 4. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7286726,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286730,원티드,FE,2026. 4. 8,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7286735,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286738,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286741,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286745,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286746,원티드,FE,2026. 4. 8,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7286750,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286752,원티드,FE,2026. 4. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7286754,원티드,FE,2026. 4. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7286755,원티드,FE,2026. 4. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7286758,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286765,원티드,FE,2026. 4. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7286768,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286771,원티드,FE,2026. 4. 8,X,,,,,,,서류_기타,,,,,
개발,7286774,원티드,FE,2026. 4. 8,X,,,,,,,서류_중복지원,,,,,
개발,7286777,원티드,FE,2026. 4. 8,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7286780,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286785,원티드,FE,2026. 4. 8,X,,,,,,,서류_설문 미응답,,,,,
개발,7286787,원티드,FE,2026. 4. 8,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7286790,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7286791,원티드,FE,2026. 4. 8,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7286792,원티드,FE,2026. 4. 8,X,,,,,,,서류_병특아님,,,,,
개발,7295951,사람인,FE,2026. 4. 9,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7307767,잡코리아,FE,2026. 4. 10,X,,,,,,,서류_기타,,,,,
개발,7357018,잡코리아,FE,2026. 4. 14,X,,,,,,,서류_병특아님,,,,,
개발,7368660,사람인,FE,2026. 4. 15,X,,,,,,,서류_병특아님,,,,,
개발,7386137,기타,FE,2026. 4. 18,O,396,합격,합격,O,불합격,,면접_포기,,,,,
개발,7427222,잡코리아,FE,2026. 4. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,7429923,원티드,FE,2026. 4. 23,X,,,,,,,서류_설문 미응답,,,,,
개발,7429927,원티드,FE,2026. 4. 23,X,,,,,,,서류_자격 요건 부족,,,,,
개발,7429930,원티드,FE,2026. 4. 23,X,,,,,,,서류_병특아님,,,,,
개발,7429940,원티드,FE,2026. 4. 23,X,,,,,,,서류_병특아님,,,,,
개발,7429945,원티드,FE,2026. 4. 23,X,,,,,,,서류_재지원자,,,,,
